New Releases For 7/24/2013

Every week, PREVIEWSworld announces which comics, graphic novels, toys and other pop-culture merchandise will arrive at your local comic shop. The products will be on sale in comic shops on the indicated date. This list is tentative and subject to change. Please check with your retailer for availability.

Digital Comics: Digital new releases available from your local comic book shop are marked below. [DIG] = Digital version available. [DIG/P+] = Print-Plus digital/print combo pack available. For more information, go to www.digitalcomicsreader.com.

PREVIEWS  PUBLICATIONS

JUN130004 	PREVIEWS #299 AUG 2013 CUSTOMER ORDER FORM 	PI
APR131459 	INJUSTICE 16 MONTH 2014 WALL CALENDAR 	$14.99
APR131465 	IRON MAN 3 19 MONTH 2014 WALL CAL 	$14.99
APR131864 	JUSHIN LIGER JUOU BLACK LIGER RIOBOT 	$129.99
FEB131740 	KNIGHTS OF SIDONIA TSUGUMORI RIOBOT 	$129.99
OCT121699 	MARS ATTACKS STATUE 	$229.95
JUN131870 	MARVEL IRON MAN MINI MUNNY 	$9.99
JUN131874 	MARVEL IRON MAN MUNNY 	$19.99
JUN131867 	MARVEL MICRO MUNNY 	PI
JUN131871 	MARVEL SPIDER-MAN MINI MUNNY 	$9.99
JUN131875 	MARVEL SPIDER-MAN MUNNY 	$19.99
JUN131869 	MARVEL VENOM MINI MUNNY 	$9.99
JUN131872 	MARVEL VENOM MUNNY 	$19.99
JUN131868 	MARVEL WOLVERINE MINI MUNNY 	$9.99
JUN131873 	MARVEL WOLVERINE MUNNY 	$19.99
DEC121680 	MEDAL OF HONOR WARFIGHTER 1/6 PREACHER AF 	PI
MAY131861 	MLB NY YANKEES HOME 1/24 DIE-CAST 	$24.95
MAR132026 	MSG FW GUNDAM STANDART TRAD FIG SER 17 	PI
FEB138340 	MY LITTLE PONY RAINBOW DASH CUTIE HOODIE LG 	$62.99
MAR132000 	NARUTO UZUMAKI NARUTO CHOPSTICKS 	$9.99
MAY132238 	PEZ IRON MAN 3 MOVIE BLISTER PACK 	PI
MAY132133 	PEZ MAN OF STEEL MOVIE BLISTER PACK 	PI
MAY132147 	POP DISNEY ALICE VINYL FIG 	$10.99
MAY132145 	POP DISNEY BALOO VINYL FIG 	$10.99
MAY132149 	POP DISNEY CARL VINYL FIG 	$10.99
MAY132148 	POP DISNEY DUMBO VINYL FIG 	$10.99
MAY132153 	POP DISNEY GENIE VINYL FIG 	$10.99
MAY132150 	POP DISNEY JAFAR VINYL FIG 	$10.99
MAY132151 	POP DISNEY JASMINE VINYL FIG 	$10.99
MAY132146 	POP DISNEY KING LOUIE VINYL FIG 	$10.99
MAY132154 	POP DISNEY MARY POPPINS VINYL FIG 	$10.99
MAY132155 	POP DISNEY MERIDA VINYL FIG 	$10.99
MAY132144 	POP DISNEY ROCKETEER VINYL FIG 	$10.99
MAY132152 	POP DISNEY RUSSELL VINYL FIG 	$10.99
APR131466 	SIMPSONS 2014 WALL CAL 	$14.99
MAY131917 	ST ENTERPRISE B 1/1000 MODEL KIT 	$28.99
MAY131916 	ST ENTERPRISE NX-01 1/350 MODEL KIT 	$89.99
MAY131914 	ST MR SPOCK 1/12 MODEL KIT LUNCH TIN 	$49.99
MAY131918 	STAR TREK ENTERPRISE C 1:2500 SCALE MODEL KIT 	$16.99
MAY131919 	STAR TREK ENTERPRISE D 1:2500 SCALE MODEL KIT 	$17.99
APR131547 	STAR TREK ENTERPRISE DECO WHT T/S LG 	$18.99
APR131546 	STAR TREK ENTERPRISE DECO WHT T/S MED 	$18.99
APR131545 	STAR TREK ENTERPRISE DECO WHT T/S SM 	$18.99
APR131548 	STAR TREK ENTERPRISE DECO WHT T/S XL 	$18.99
APR131549 	STAR TREK ENTERPRISE DECO WHT T/S XXL 	$20.99
MAY131915 	STAR TREK KLINGON KTINGA 1/537 SCALE MODEL KIT 	$34.99
APR131469 	SUPERMAN MAN OF STEEL 19 MONTH 2014 WALL CAL 	$14.99
APR131567 	TMNT LEONARDO SWORD WAY PX NAVY T/S LG 	$18.99
APR131566 	TMNT LEONARDO SWORD WAY PX NAVY T/S MED 	$18.99
APR131565 	TMNT LEONARDO SWORD WAY PX NAVY T/S SM 	$18.99
APR131568 	TMNT LEONARDO SWORD WAY PX NAVY T/S XL 	$18.99
APR131569 	TMNT LEONARDO SWORD WAY PX NAVY T/S XXL 	$20.99
JAN138195 	TO HEART2 XRATED SASARA PVC FIG SHITAGI VER 	$84.99
APR131953 	TO HEART2 XRATED SASARA PVC FIG SHITAGI VER (MR) 	$84.99
JAN138196 	TO HEART2 XRATED TAMAKI PVC FIG SHITAGI VER (MR) 	$84.99
SEP121713 	TOKIDOKI DONUTELLA MINI PLUSH 24PC BMB DS 	$9.95
APR131494 	WALKING DEAD GOOD BAD HUNGRY PX BLK T/S LG 	$17.99
APR131493 	WALKING DEAD GOOD BAD HUNGRY PX BLK T/S MED 	$17.99
APR131492 	WALKING DEAD GOOD BAD HUNGRY PX BLK T/S SM 	$17.99
APR131495 	WALKING DEAD GOOD BAD HUNGRY PX BLK T/S XL 	$17.99
APR131496 	WALKING DEAD GOOD BAD HUNGRY PX BLK T/S XXL 	$19.99
APR131472 	WOLVERINE 16 MONTH 2014 WALL CAL 	$14.99
APR131453 	WOMEN OF MARVEL 2014 16 MONTH WALL CAL 	$14.99
MAR138416 	YU GI OH TCG NUMBER HUNTERS BOOSTER 	PI
JAN131871 	ZOMBIE ATTACKED FLEECE SCARF 	$21.99
APR132228 	ZOMBIE DICE SCORE PAD 	$3.50
MAY132290 	ZOMBIE PARTY LUNCHEON NAPKINS 	PI
MAY132297 	ZOMBIE PARTY PAPER MINI ZOMBIE HEAD POPCORN BOXES 	PI
MAY132298 	ZOMBIE PARTY PAPER ZOMBIE 2-LITER DRINK BOTTLE LABELS 	PI
MAY132293 	ZOMBIE PARTY PARTY CUPS 	PI
MAY132296 	ZOMBIE PARTY PLASTIC SKELETON HAND PICKS 	PI
